,n_submodels,loss,beta,C_xQf,xQf,C_xQr_r,xQr_r,cdQr_r[k-1],cdQr_r[k-2],C_xQr_p,xQr_p,cdQr_p[k-1],cdQr_p[k-2],C_xH,xH
0,0.0,0.0,5.0,0.05,0.9,0.25,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.25,1.0
1,1.0,0.396,2.923,0.038,0.0,0.27,0.664,0.124,0.0,0.0,0.678,0.05,0.0,0.122,1.0
2,1.0,0.401,3.593,0.114,0.45,0.346,0.555,0.05,0.0,0.0,0.64,0.049,0.0,0.18,0.998
3,1.0,0.406,3.052,0.0,0.0,0.403,0.515,0.036,0.0,0.0,0.554,0.032,0.0,0.112,1.0
4,1.0,0.425,3.61,0.043,0.924,0.309,0.603,0.041,0.0,0.0,0.663,0.048,0.0,0.207,0.994
5,1.0,0.424,3.286,0.14,0.0,0.3,0.661,0.0,0.0,0.0,0.635,0.036,0.0,0.162,1.0
6,8.0,0.382,3.162,0.099,0.0,0.335,0.599,0.0,0.0,0.0,0.544,0.0,0.0,0.164,1.001
7,8.0,0.41,3.07,0.062,0.618,0.377,0.567,0.0,0.0,-0.036,0.669,0.0,0.0,0.161,0.979
8,8.0,0.394,2.812,0.0,0.0,0.426,0.562,0.043,0.0,0.041,0.517,0.0,0.0,0.0,1.012
9,8.0,0.353,3.247,0.091,0.0,0.351,0.594,0.0,0.0,0.0,0.607,0.034,0.0,0.097,1.0
10,8.0,0.43,2.598,0.095,0.343,0.206,0.757,0.093,0.0,0.0,0.754,0.091,0.0,0.112,0.997
